1	1	189	255	67
2	1	336	2799	2464
3	1	2800	3733	934
4	1	3733	5020	1288
5	1	5233	5530	298
6	1	5682	6459	778
7	1	6528	7959	1432
8	1	8237	9191	955
9	1	9305	9893	589
10	1	9927	10494	568
11	1	10642	11356	715
12	1	11381	11786	406
13	1	12162	14079	1918
14	1	14167	15298	1132
15	1	15444	16557	1114
16	1	16750	16960	211
17	1	16750	16903	154
18	1	17488	18655	1168
19	1	18714	19620	907
20	1	19810	20314	505
21	1	20232	20508	277
22	1	20814	21078	265
23	1	21180	21399	220
24	1	21406	22348	943
25	1	22390	25207	2818
26	1	25206	25701	496
27	1	25825	26275	451
28	1	26276	27227	952
29	1	27292	28207	916
30	1	28373	29195	823
31	1	29650	30799	1150
32	1	30816	34038	3223
33	1	34299	34695	397
34	1	34780	35371	592
35	1	35376	36162	787
36	1	36270	37824	1555
37	1	37897	39115	1219
38	1	39243	40386	1144
39	1	40416	41931	1516
40	1	42402	43173	772
41	1	43187	44129	943
42	1	44179	45466	1288
43	1	45462	45750	289
44	1	45806	47138	1333
45	1	47245	47776	532
46	1	47768	49631	1864
47	1	49822	50302	481
48	1	50379	51222	844
49	1	51228	51606	379
50	1	51608	52430	823
51	1	52426	53416	991
52	1	53415	54702	1288
53	1	54754	57109	2356
54	1	57363	58179	817
55	1	58473	59052	580
55	2	59051	59279	229
56	1	59686	60346	661
57	1	60357	63264	2908
58	1	63428	65780	2353
59	1	65854	66550	697
60	1	66834	68337	1504
61	1	68347	70048	1702
62	1	70386	71265	880
63	1	71350	72115	766
64	1	72228	72927	700
65	1	72910	74521	1612
66	1	74496	75480	985
67	1	75643	77299	1657
68	1	77387	77519	133
69	1	77620	78799	1180
70	1	78847	79453	607
71	1	79463	80864	1402
72	1	80866	81958	1093
73	1	81957	83529	1573
74	1	83621	83708	88
75	1	84367	85312	946
76	1	85629	87354	1726
77	1	87356	87848	493
78	1	88027	89032	1006
79	1	89633	90092	460
80	1	90093	91035	943
81	1	91031	91397	367
82	1	91412	93179	1768
83	1	93165	94653	1489
84	1	94649	96008	1360
85	1	96001	97084	1084
86	1	97086	98403	1318
87	1	98402	99647	1246
88	1	99643	100711	1069
89	1	100764	102240	1477
90	1	102232	103153	922
91	1	103154	103985	832
92	1	103981	105244	1264
93	1	105304	106456	1153
94	1	106556	107474	919
95	1	107704	108217	514
96	1	108278	110984	2707
97	1	111043	111433	391
98	1	111648	111846	199
99	1	111855	112599	745
100	1	112598	113219	622
101	1	113443	114487	1045
102	1	114521	115724	1204
103	1	115713	117099	1387
104	1	117108	117549	442
105	1	117751	118645	895
106	1	118732	119284	553
107	1	119280	120135	856
108	1	120177	121551	1375
109	1	122091	122856	766
110	1	123016	125680	2665
111	1	125694	127587	1894
112	1	127911	129336	1426
113	1	129406	131260	1855
114	1	131614	134212	2599
115	1	134387	134750	364
116	1	134787	135582	796
117	1	135597	136464	868
118	1	136569	136917	349
119	1	137082	138633	1552
120	1	138834	141225	2392
121	1	141430	141967	538
122	1	142007	142670	664
123	1	142778	143705	928
124	1	143701	144472	772
125	1	144576	145017	442
126	1	145080	146310	1231
127	1	146313	146694	382
128	1	146967	147870	904
129	1	147943	148795	853
130	1	148806	149601	796
131	1	149714	150953	1240
132	1	151002	151599	598
133	1	151625	152231	607
134	1	152242	152812	571
135	1	152828	155426	2599
136	1	155460	156201	742
137	1	156298	156883	586
138	1	157252	157732	481
139	1	157728	159126	1399
140	1	159185	160112	928
141	1	160148	160604	457
142	1	160781	161486	706
143	1	161500	162031	532
144	1	162104	164534	2431
145	1	164729	167264	2536
